Customers with highest no. of transactions,,,,Customers bringing maximum revenue,,,,Part numbers with maximum revenue,,,,Part numbers with maximum margin,,
Row Labels,Count of custname,,,Row Labels,Sum of revenue,,,Row Labels,Sum of revenue,,,Row Labels,Sum of margin,
PLIBRICO REFRACTORY,32,,,UTLX MANUFACTURING INC.,1181413.23,,,733151500,842787.2,,,764652002,456424.89,
A&F WHOLESALE INSULATION,30,,,INSULATION SPECIALTIES,1179828.6,,,737851000,828381.14,,,734351200,452683.1,
SHAW ENERGY & CHEMICALS,29,,,THERMAL STRUCTURES,1172244.33,,,733525600,783770,,,733586500,447105.88,
SPECIALTY PRODUCTS,29,,,EXOCHEM CORPORATION,1067143.5,,,724003000,711545.95,,,734910000,423536.1,
HI-TEMP FABRICATION INC.,29,,,TIGHITCO INC.,1060240.7,,,764040000,708662.96,,,734351203,414396.86,
DURR SYSTEMS INC.,29,,,SHOOK & FLETCHER,1013238.21,,,733525500,708637.87,,,739781100,393991.97,
PYROTEK INC (DRUMMONDVILL,28,,,INDUST'L FIREBRICK OF DET,986469.36,,,763991000,705518.56,,,766121132,386875.29,
PROCEDYNE CORP,26,,,AMCOR AMERICAN METALS,985944.8,,,726000080,684779.52,,,764821030,377330.23,
AGIS,26,,,EXPRESS METAL FAB INC.,947177.21,,,793330000,682168.4,,,764902000,376614.19,
ZIRCAR CERAMICS INC,25,,,HEARTH & HOME TECHNOLOGIE,943076.52,,,771320000,674324.27,,,777601000,375436.81,
SPECIALTY FOUNDRY PRODUCT,25,,,"INTERNATIONAL PAINT, INC.",939270.25,,,739741100,662303.66,,,768222000,370851.45,
CORNING SHARED SERVICES,25,,,CERAMIC SYSTEMS INC.,919058.12,,,734910000,654695.65,,,733403200,370501.61,
THERMAL STRUCTURES,24,,,F.S. SPERRY COMPANY,885496.7,,,766122000,647878,,,733211050,364603.36,
APPLIED INDUSTRIAL TECH.,24,,,VESUVIUS MEXICO SA DE CV,871222.5,,,792700000,647192,,,726020033,359055.29,
SHOOK & FLETCHER,23,,,PACIFIC INSULATION CO.,799899.83,,,733586600,620635.68,,,766122000,348971.11,
LYNN MANUFACTURING INC.,23,,,ATLANTECH DISTRIBUTION,773795.47,,,754164100,614952.36,,,727080000,347308.12,
COMPANIA NACIONAL,21,,,SW ANDERSON SALES,758488.65,,,727000046,602306.48,,,718500000,346411.56,
GARLOCK SEALING TECH,20,,,SANDVIK THERMAL PROCESS,708619.21,,,777902700,598644.55,,,793001000,342422.29,
SPECIALTY CERAMICS INC,19,,,MIDWEST MATERIALS CO.,684457.78,,,764902000,595730.25,,,764522000,341455.05,
VACUFORM INC.,19,,,ESCO TURBINE TECHNOLOGIES,677418.35,,,764821030,593674.4,,,764461006,340125.3,
ZIRCAR REFRAC. COMPOSITES,19,,,EVERBURN MANUFACTURING CO,668443.2,,,764522000,585623.7,,,764861000,337996.66,
PRAXAIR,19,,,UPSTATE REFRACTORY SERVIC,657767.62,,,764861000,575209.25,,,726000080,329211.6,
POWER PLANT SERVICES,19,,,SPECIALTY FOUNDRY PRODUCT,648258.72,,,768222000,568951.7,,,715000000,319793.51,
EISENMANN CORPORATION,19,,,COTRONICS INC,595280.43,,,793001000,568488,,,764481000,316998.62,
CARBONYX CARBON TECH.,19,,,LYNN MANUFACTURING INC.,583902.03,,,733586500,562807.44,,,720219100,312547.21,
PORTER WARNER INDUSTRIES,18,,,CONSTRUCTION SPECIALTIES,564128.07,,,727063007,555049.5,,,777690062,306138.73,
W. D. EQUIPMENT CO.,17,,,A&F WHOLESALE INSULATION,540526.88,,,777601000,551727.74,,,768121000,305580.32,
THERMCRAFT INC,17,,,FEDERAL MOGUL WORLDWIDE,527429.04,,,764652002,551093.76,,,777902700,305156.2,
EXPRESS METAL FAB INC.,17,,,BRAUER SUPPLY COMPANY,526873,,,793000500,544201.2,,,727031200,297724,
DS FIBERTECH CORP.,17,,,FRICCION Y TECNOLOGIA,522036.4,,,734351200,543441.75,,,727041200,290188.76,
SPAR INC,16,,,BRUCKNER SUPPLY,497351.02,,,740361900,536252.64,,,763991000,287257.87,
LMB INDUSTRIAL SERVICES,15,,,KMI SYSTEMS INC,487046.1,,,764461006,518082.8,,,737801000,283369.56,
ISOLITE INSULATING PROD.,15,,,EAGLE INSULATION,482795,,,764481000,514556.4,,,793000500,279676.09,
COTRONICS INC,15,,,DANSER INC,440578.8,,,734351203,501507,,,734830000,276482.96,
SCHAD BOILER SETTING CO.,14,,,STETSON BUILDING PRODUCTS,440323.3,,,768121000,495414.15,,,720252303,270917.95,
SEALING DEVICES INC,14,,,BOATWRIGHT DISTRIBUTION,419569.69,,,733211050,493653.5,,,733586600,270657.67,
PACIFIC INSULATION CO.,14,,,PSP/MONOTECH INDUSTRIES,411834.2,,,754864016,491413.86,,,764827550,270337.14,
RATH INCORPORATED,14,,,4-STATE SUPPLY,404716.6,,,727000030,479701.8,,,727063022,268882.32,
GLENRO INC,14,,,INSULCON BENELUX B.V.,399179.15,,,791107600,476434.8,,,764633510,264466.07,
SGL CARBON LLC- MORGANTON,13,,,CLIMATECH,398059.58,,,733403200,467923.06,,,737912200,262051.08,
INDUSTRIAL SUPPLY CO INC,13,,,CARBOLINE COMPANY,396441,,,718500000,456637.17,,,737016200,261449.26,
HANYAN-HIGGINS CO INC,13,,,MONESSEN HEARTH SYSTEMS,361950.97,,,765651000,447297,,,733464500,247715.1,
"AMERISAFE, INC",13,,,S & S INDUSTRIES,361019.5,,,764261000,416189.9,,,739741100,245053.25,
TIGHITCO INC.,12,,,PLIBRICO COMPANY LLC,357284.63,,,764827550,414860.8,,,792700000,235895.49,
SPECIALTY GASKETS INC.,12,,,INSULATING SERVICES INC.,356687.27,,,781580000,412219.56,,,734132000,235869.06,
NIAGARA SPECIALTY METALS,12,,,FIRELINE,347536.32,,,737801000,405557.28,,,735752000,235758.15,
EASTERN REGIONAL CONTRACT,12,,,SHAW ENERGY & CHEMICALS,345441.8,,,727080000,402717.2,,,733202000,234432.86,
INDUSTRIAL TECHNOLOGIES,12,,,LIQTECH NA INC.,345434.7,,,726020019,397951.25,,,739561200,233947.7,
E.K.S. PARTS INC.,12,,,HARPER INTERNATIONAL CORP,345197.11,,,737301000,391626.69,,,793000010,232523.46,
HI TEMP INSULATION INC,12,,,RATH INCORPORATED,344115.95,,,735752000,380916.8,,,727000046,232427.62,
BASIC RESOURCES INC.,12,,,PROCEDYNE CORP,340991.97,,,727063022,374560.4,,,791107600,228905.54,
BRADEN MANUFACTURING,12,,,COMPANIA NACIONAL,340106.71,,,764781022,374319,,,734211200,224360.7,
SURFACE COMBUSTION INC,11,,,FIRELINE INC,336717.72,,,737912200,374124.48,,,737301000,223947.35,
SELEE CORP,11,,,FOSECO JAPAN LTD.,328593.6,,,768141003,370916,,,754164100,223146.61,
SPECIALTY PRODUCTS&INSUL,11,,,INSULATION SALES,327326.1,,,733202000,369428.26,,,740285000,221366.18,
THORPE PRODUCTS,11,,,IDC CORPORATION,322620,,,738521000,364025.65,,,764602600,221240.66,
FUELCELL ENERGY,11,,,SELLE SUPPLY COMPANY,316770.18,,,764633510,359922.8,,,764261000,219424.26,
INSULATION SPECIALTIES,11,,,L & A METALWORKS INC.,313472,,,734830000,353440.1,,,766001000,216902.95,
CLYDE BERGEMANN BACHMANN,11,,,CAMBRIDGE PRO FAB INC.,312431.25,,,727041200,351438.4,,,718501000,215671.05,
ALLIED MINERAL PRODUCTS I,11,,,THERMCRAFT INC,310806.32,,,764602600,351103.2,,,733566300,215116.5,
CECO ABATEMENT,11,,,CARBONYX CARBON TECH.,309374.4,,,766121133,350513.6,,,765651000,210526.98,
CARDINAL FG,11,,,EISENMANN CORPORATION,307989.7,,,740382201,347382,,,734793020,205709.93,
WOLSELEY INDUSTRIAL GROUP,10,,,"MEGTEC SYSTEMS, INC",290115.28,,,737016200,346350.65,,,768141003,205375.49,
VESUVIUS MEXICO SA DE CV,10,,,BOEING COMMERCIAL,286834,,,734793020,345434.7,,,740361900,199019.53,
VESUVIUS USA,10,,,WILLIAMS INDUSTRIAL SERVI,284415.09,,,768242701,344050.08,,,726020019,197109.96,
MSSM,10,,,INDUSTRIAL INSULATION,280606.05,,,768231000,341273.1,,,793000000,191691.39,
METAULLIC SYSTEMS DIV.,10,,,BRADEN MANUFACTURING,274546.8,,,777922000,335120.64,,,768231000,188540.13,
KMI SYSTEMS INC,10,,,VIRGINIA-CAROLINA REF INC,273048.72,,,739561200,335059.39,,,732663000,188401.99,
INSULATION SALES,10,,,HERCULES INDUSTRIES - DEN,270392,,,793000010,334065.6,,,726020009,187022.38,
FEDERAL MOGUL WORLDWIDE,10,,,SPECIALTY PROD. INSULATIO,258160.25,,,740285000,330278.68,,,727041000,186551.65,
CONSTRUCTION SPECIALTIES,10,,,"TK HOLDINGS, INC.",255496.5,,,727063005,324219,,,764605000,185762.55,
SANDVIK THERMAL PROCESS,9,,,SPECIALTY PRODUCTS&INSUL,252347,,,764521100,322646,,,733201000,184223.9,
STECO REFRACTORIES,9,,,METRO SUPPLY CO.,250233,,,765501001,321988.5,,,791107850,182003.78,
S & S INDUSTRIES,9,,,ASK CHEMICALS HI-TECH LLC,247325.09,,,733182180,321071.8,,,764781022,179146.97,
TOLEDO ENGINEERING CO INC,9,,,ZIRCAR CERAMICS INC,242397.52,,,720219100,320523.45,,,766121133,178482.47,
MOUNTAINVIEW MECHANICAL,9,,,SPECIALTY PRODUCTS &,242355,,,793000000,318973.68,,,764900005,178373.93,
MIDWEST MATERIALS CO.,9,,,UNIVERSAL REFRACTORIES,237384,,,718501000,312383.8,,,768211000,178009.06,
MACER LTDA,9,,,MSSM,235689.24,,,733464500,310961.8,,,740382201,177818.35,
INSULATING SERVICES INC.,9,,,ACME INSULATION INC,228685,,,764901005,310232,,,727000030,177564.88,
HAZELETT STRIP CASTING CO,9,,,CHASE SPECIALTY COATINGS,224201.25,,,768211000,309861.8,,,770560000,176967.14,
"GEMX TECHNOLOGIES, LLC",9,,,DS FIBERTECH CORP.,222272.25,,,766001000,309027,,,733505300,175745.05,
DOOLEY GASKET & SEAL,9,,,CERAMASPEED,220614,,,764900005,308444.8,,,733182180,173134.26,
SP &I- AUBURN MA,8,,,ADVANCE THERMAL CORP,218290.4,,,734132000,305162.55,,,762134000,172185.64,
SELLE SUPPLY COMPANY,8,,,FDP VIRGINIA INC.,217900.8,,,727000081,303027,,,733151600,172090.1,
SPECIAL METALS INC.,8,,,DURR SYSTEMS INC.,207577.08,,,764605000,294282.1,,,764602000,171421,
THORPE TECHNOLOGIES INC.,8,,,THORPE PRODUCTS,207417.5,,,738561000,292967.45,,,764820600,169697.17,
UNIFRAX (SHANGHAI) LTD.,8,,,HERAEUS,202018.32,,,762134000,291872,,,764521100,168699.97,
STEWART ENGINEERS,8,,,KERBER SHEET METAL,196554.16,,,766162000,285569.15,,,739561100,167996.34,
MONESSEN HEARTH SYSTEMS,8,,,SGL CARBON LLC- MORGANTON,194352.33,,,720252303,280643.55,,,781580000,167349.77,
IBC ADVANCED ALLOYS,8,,,"AMERISAFE, INC",193616.64,,,779958162,279532.5,,,764631000,164156.29,
ESCO TURBINE TECHNOLOGIES,8,,,SPAR INC,190866.65,,,768221120,275946.04,,,726020047,162823.06,
ALCOA,8,,,NIAGARA SPECIALTY METALS,190079.51,,,715000050,275511.83,,,764030000,159352.59,
STETSON BUILDING PRODUCTS,7,,,PLIBRICO REFRACTORY,187638.69,,,764222050,274964.18,,,727070000,159198.18,
"TAYLOR-SEIDENBACH, INC.",7,,,AMERICAN MECHANICAL,182835.8,,,739641100,271258.05,,,734251300,158282.59,
LANE REFRACTORIES,7,,,PEACHTREE DISTRIBUTING,180320,,,733566300,271209.6,,,764609200,154507.48,
METRO SUPPLY CO.,7,,,THERMO FISHER SCIENTIFIC,177554.92,,,764821073,269119.4,,,727063007,152848.57,
M&M INSULATION,7,,,ISOLITE INSULATING PROD.,176333.79,,,764820600,268824,,,779987650,150064.61,
REFRACTORY MAINTENANCE CO,7,,,M&M INSULATION,176209,,,764602000,265991.1,,,732821100,148871.36,
